epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,6326.35,0.73427,0.8111,1.28738,0.6966,0.94965,0.91634,0.70508,0.79769,0.84639,1.77561,0.0002105,0.0002105,0.0002105
86,6377.79,0.71886,0.87021,1.32612,0.70406,0.93191,0.94134,0.72306,0.79509,0.83312,1.7722,0.000198125,0.000198125,0.000198125
87,6431.31,0.74947,0.84047,1.33023,0.74454,0.93598,0.94321,0.7488,0.77473,0.81632,1.74915,0.00018575,0.00018575,0.00018575
88,8620.74,0.68958,0.79683,1.27427,0.75241,0.96044,0.95125,0.75438,0.75619,0.79933,1.72495,0.000173375,0.000173375,0.000173375
89,8672.49,0.72866,0.82156,1.31997,0.72967,0.98979,0.93944,0.74677,0.75615,0.82679,1.72989,0.000161,0.000161,0.000161
90,8735.53,0.62115,0.72907,1.24248,0.69655,0.91443,0.93321,0.7398,0.76962,0.87653,1.73978,0.000148625,0.000148625,0.000148625
91,8815.66,0.43688,0.7801,1.15793,0.69604,0.8347,0.92071,0.72295,0.77812,0.93501,1.73641,0.00013625,0.00013625,0.00013625
92,8890.07,0.38883,0.71403,1.15072,0.91343,0.69476,0.91724,0.71227,0.78892,0.9632,1.75035,0.000123875,0.000123875,0.000123875
93,8962.32,0.3791,0.68402,1.12172,0.92405,0.69661,0.91724,0.70843,0.79423,0.9762,1.76853,0.0001115,0.0001115,0.0001115
94,9038.32,0.41094,0.7545,1.1562,0.91634,0.6972,0.92319,0.72929,0.79775,0.98614,1.78761,9.9125e-05,9.9125e-05,9.9125e-05
